"X.0.109.";"X.0.446.";"X.12.";"X.2.78.";"interaction";"name";"selected";"shared.interaction";"shared.name";"value";"weight";"from";"to"
NA;NA;NA;NA;"interacts with";"AT2G28350 (interacts with) AT5G67440";"false";"interacts with";"AT2G28350 (interacts with) AT5G67440";0.226626277845153;0.226626277845153;"AT2G28350";"AT5G67440"
NA;NA;NA;NA;"interacts with";"AT1G68880 (interacts with) AT1G16060";"false";"interacts with";"AT1G68880 (interacts with) AT1G16060";0.150818643503611;0.150818643503611;"AT1G68880";"AT1G16060"
NA;NA;NA;NA;"interacts with";"AT1G68880 (interacts with) AT5G43170";"false";"interacts with";"AT1G68880 (interacts with) AT5G43170";0.11025820245022;0.11025820245022;"AT1G68880";"AT5G43170"
NA;NA;NA;NA;"interacts with";"AT1G68880 (interacts with) AT2G01420";"false";"interacts with";"AT1G68880 (interacts with) AT2G01420";0.0884879729617791;0.0884879729617791;"AT1G68880";"AT2G01420"
NA;NA;NA;NA;"interacts with";"AT1G68880 (interacts with) AT4G37590";"false";"interacts with";"AT1G68880 (interacts with) AT4G37590";0.094542792311972;0.094542792311972;"AT1G68880";"AT4G37590"
NA;NA;NA;NA;"interacts with";"AT1G68880 (interacts with) AT5G25620";"false";"interacts with";"AT1G68880 (interacts with) AT5G25620";0.111484073125539;0.111484073125539;"AT1G68880";"AT5G25620"
NA;NA;NA;NA;"interacts with";"AT1G68880 (interacts with) AT5G17800";"false";"interacts with";"AT1G68880 (interacts with) AT5G17800";0.092017137717996;0.092017137717996;"AT1G68880";"AT5G17800"
NA;NA;NA;NA;"interacts with";"AT3G15540 (interacts with) AT2G14960";"false";"interacts with";"AT3G15540 (interacts with) AT2G14960";0.211524390850569;0.211524390850569;"AT3G15540";"AT2G14960"
NA;NA;NA;NA;"interacts with";"AT3G15540 (interacts with) AT5G06080";"false";"interacts with";"AT3G15540 (interacts with) AT5G06080";0.137079003272528;0.137079003272528;"AT3G15540";"AT5G06080"
NA;NA;NA;NA;"interacts with";"AT3G15540 (interacts with) AT4G32280";"false";"interacts with";"AT3G15540 (interacts with) AT4G32280";0.131147675149595;0.131147675149595;"AT3G15540";"AT4G32280"
