"from";"V2";"to";"V4";"V5";"V6";"V7"
"AT4G37750";1;"AT1G76420";12;2.78;0.109;0.446
"AT4G37750";-1;"AT5G06080";69;1.74;0.037;0.194
"AT4G37750";1;"AT1G31320";37;1.16;0.027;0.332
"AT4G37750";1;"AT5G12330";61;1.31;0.083;0.039
"AT4G37750";1;"AT2G34710";100;1.07;0.035;0.004
"AT4G37750";1;"AT1G30490";2;1.27;0.101;0.105
"AT4G37750";1;"AT3G25710";100;0.78;0.012;0.001
"AT4G30080";-1;"AT4G28720";100;1.54;0.106;0.112
"AT1G77850";-1;"AT5G37020";70;1.35;0.375;0.215
"AT1G77850";-1;"CDKB2.1";74;0.87;0.008;0.039
"AT1G77850";-1;"AT3G63440";71;0.77;0.195;0.064
"AT1G77850";-1;"AT2G23380";55;1.62;0.411;0.293
"AT1G77850";-1;"AT4G38210";49;1.4;0.012;0.176
"AT1G77850";-1;"AT1G19850";49;1.02;0.404;0.176
"AT1G77850";-1;"AT1G30490";37;1.22;0.262;0.242
"AT1G77850";-1;"AT1G73590";15;1.21;0.31;0.341
"AT1G77850";-1;"AT2G25170";100;0.92;0.027;0.001
"AT1G77850";-1;"AT5G10510";57;1.05;0.325;0.13
"AT1G77850";-1;"AT3G12280";80;0.77;0.008;0.017
"AT3G61830";-1;"AT1G51950";76;1.55;0.319;0.121
"AT1G19220";1;"AT2G42430";20;1.3;0.564;0.205
"AT1G19220";1;"AT3G58190";11;0.94;0.714;0.478
"AT5G62000";-1;"AT5G17430";98;1.62;0.205;0.056
"AT5G62000";-1;"CYCD6.1";100;2.22;0.099;0.02
"AT5G60450";1;"AT2G42430";32;1.66;0.366;0.072
"AT1G30330";-1;"AT1G52150";100;1.82;0.025;0.15
"AT1G30330";1;"CYCB1.1";100;1.44;0.066;0.077
"AT1G30330";-1;"AT5G43890";88;2.16;0.041;0.298
"AT5G20730";1;"AT3G26810";93;1.28;0.143;0.305
"AT5G20730";1;"AT1G19220";75;0.85;0.034;0.021
"AT5G20730";1;"AT5G60450";43;1.44;0.199;0.443
"AT5G20730";1;"AT3G15540";100;1.11;0.094;0.097
"AT5G20730";1;"AT2G42430";92;1.34;0.133;0.239
"AT5G20730";1;"AT3G58190";81;1.15;0.089;0.253
"AT5G20730";1;"AT1G23080";44;1.52;0.16;0.438
"AT5G37020";1;"AT5G17430";100;0.93;0.043;0.139
"AT5G37020";1;"CYCA2.4";100;0.78;0.012;0.04
"AT5G37020";1;"CYCB1.1";100;1.08;0.037;0.065
"AT5G37020";1;"AT5G02470";88;1.49;0.034;0.296
"AT5G37020";1;"AT1G47870";93;2.98;0.084;0.329
"AT5G37020";1;"AT5G42630";100;0.94;0.041;0.128
"AT5G37020";1;"AT1G51190";100;0.9;0.021;0.033
"AT5G37020";1;"AT4G37650";37;1.63;0.098;0.463
"AT5G37020";1;"AT1G80100";100;1.26;0.023;0.062
"AtMYB93";1;"AT1G77690";14;1.77;0.008;0.055
"AtMYB93";-1;"AT2G01420";74;1.97;0.014;0.018
"AtMYB93";1;"WOX14";90;1.84;0.012;0.01
"AT5G17430";-1;"AT4G23980";100;1.74;0.005;0.119
"AT5G17430";1;"CYCA2.4";100;1.5;0.049;0.069
"AT5G17430";1;"CYCB1.1";100;1.51;0.042;0.037
"AT5G17430";1;"AT5G02470";69;1.94;0.129;0.352
"AT5G17430";1;"AT2G36010";100;1.27;0.028;0.034
"AT5G17430";1;"AT1G80100";100;1.33;0.022;0.017
"AT1G04550";-1;"AT3G23030";10;0.86;0.126;0.052
"AT1G04550";-1;"AT5G25890";30;1.01;0.369;0.019
"AT2G23380";-1;"AT2G23170";100;2.15;0.001;0.16
"AT2G23380";-1;"AT2G33310";99;1.63;0.053;0.198
"AT2G23380";-1;"WOX13";100;1.07;0.071;0.155
"AT2G23380";1;"AT3G12280";46;2.94;0.067;0.396
"AT1G52150";1;"AT4G23980";73;0.94;0.112;0.057
"AT1G52150";1;"AT2G23170";8;0.94;0.304;0.391
"AT1G52150";1;"AT4G32280";38;1.64;0.264;0.25
"AT1G52150";1;"AT2G45420";76;0.93;0.117;0.035
"AT1G52150";-1;"AT3G20840";88;1.48;0.212;0.047
"AT1G52150";1;"AT5G60690";70;0.85;0.09;0.09
"AT1G52150";1;"WOX13";99;1.04;0.112;0.001
"AT1G52150";1;"AT5G57390";61;1.34;0.04;0.104
"AT1G52150";1;"AT5G65510";34;0.79;0.134;0.243
"AT1G76420";1;"CYCD6.1";100;1.11;0.035;0.001
"AT1G76420";1;"AT5G12330";41;1.9;0.319;0.18
"AT1G76420";1;"AT5G10510";94;1.5;0.202;0.037
"AT1G76420";1;"AT5G53290";97;1.58;0.004;0.011
"AT1G76420";1;"CRF2.TMO3";93;1.5;0.223;0.067
"AT1G26870";1;"AT5G16560";100;1.07;0.014;0.002
"AT1G26870";1;"AT5G57090";99;1.49;0.023;0.04
"AT1G26870";1;"AT3G20840";91;1.12;0.143;0.067
"AT1G26870";1;"AT1G79580";93;0.95;0.046;0.056
"AT1G26870";1;"AT1G74500";100;0.98;0.105;0.021
"AT1G26870";1;"AT1G04610";100;1.29;0.025;0.033
"AT3G54610";1;"AT5G25620";79;1.06;0.025;0.013
"AT4G28640";-1;"AT3G25710";71;1.56;0.217;0.031
"AT1G51950";-1;"AT4G37750";27;1.59;0.284;0.478
"AT1G51950";-1;"AT5G37020";100;1.28;0.172;0.188
"AT1G51950";-1;"AT3G63440";51;0.96;0.275;0.402
"AT1G51950";-1;"AT2G23380";99;1.65;0.185;0.222
"AT1G51950";-1;"CYCD3.1";70;1.35;0.207;0.336
"AT1G51950";-1;"AT1G47870";38;1.33;0.23;0.443
"AT1G51950";-1;"AT5G12330";76;1.33;0.195;0.281
"AT1G51950";-1;"AT1G19850";100;0.66;0.045;0.003
"AT1G51950";-1;"AT2G34710";100;1.1;0.137;0.119
"AT1G51950";-1;"AT1G73590";15;1.6;0.307;0.511
"AT1G51950";-1;"AT2G25170";100;0.79;0.111;0.265
"AT1G51950";-1;"AT5G10510";91;1.11;0.153;0.175
"AT1G51950";-1;"CRF2.TMO3";79;1.3;0.178;0.25
"AT3G23030";-1;"AT4G30080";11;1.19;0.276;0.16
"AT5G25890";-1;"AT4G30080";100;1.44;0.057;0.132
"AT5G25890";-1;"AT1G30490";100;1.43;0.026;0.076
"AT5G16560";1;"AT4G39400";97;1.29;0.114;0.024
"AT5G16560";1;"AT5G57090";100;1.84;0.007;0.003
"AT5G16560";1;"AT3G62980";100;1.88;0.002;0.018
"AT5G42630";1;"AT5G17430";100;0.78;0.007;0.03
"AT5G42630";1;"CYCA2.4";100;1.44;0.039;0.075
"AT5G42630";1;"CYCB1.1";100;1.29;0.006;0.003
"AT5G42630";1;"AT2G36010";100;1.16;0.005;0.018
"AT5G42630";1;"AT1G51190";100;0.9;0.004;0.003
"AT2G42430";1;"AT2G38120";21;1.49;0.415;0.305
"AT2G42430";-1;"AT1G51190";74;1.22;0.24;0.044
"AT2G42430";1;"AT5G18560";100;1;0.044;0.004
"AT2G42430";-1;"AT4G37650";100;1.3;0;0.001
"AT2G42430";1;"AT4G13260";38;1.84;0.207;0.185
"AT2G45420";1;"AT5G62000";100;1.01;0.018;0.006
"AT2G45420";1;"AT4G23980";99;0.96;0.032;0.006
"AT2G45420";1;"AT5G60690";80;1.31;0.043;0.014
"AT2G45420";1;"AT5G57390";100;1.18;0.002;0.001
"AT2G45420";1;"AT5G65510";99;1.07;0;0.006
"AT3G58190";1;"AT2G38120";2;1.39;0.596;0.327
"AT3G58190";1;"AT5G06080";24;2;0.153;0.025
"AT3G58190";1;"AT5G18560";85;1.05;0.181;0.002
"AT3G58190";-1;"AT4G37650";41;1.54;0.077;0.011
"AT5G06080";1;"AT2G38120";25;2.39;0.348;0.029
"AT5G06080";1;"AT4G32280";53;0.98;0.343;0.037
"AT5G06080";1;"AT2G45420";91;1.39;0.135;0.009
"AT5G06080";1;"AT4G13260";71;1.66;0.098;0.011
"AT1G31320";1;"AT4G37750";29;0.71;0.171;0.025
"AT1G31320";-1;"AT1G51950";1;1.11;0.525;0.178
"AT1G31320";-1;"AT5G25890";40;1.34;0.339;0.06
"AT1G31320";-1;"AT5G06080";13;1.34;0.176;0.125
"AT1G31320";1;"AT1G30490";90;0.89;0.194;0.028
